"","UserID","Monetary","Frequency","Recency","rankR","rankF","rankM","rankRMF","rankR1","rankF1","rankM1","rankRMF1","M_S","F_S","R_S","Custom"
"113",14680,5487,10,13,4,1,2,412,0.935960591133005,0.285714285714286,0.373438113948919,2.7,1,1,2,"一般发展客户"
"114",14681,6415,13,12,4,3,3,433,0.940886699507389,0.428571428571429,0.446365422396857,3.5,1,2,2,"重点保护客户"
"115",14682,8456,18,5,5,5,5,555,0.975369458128079,0.666666666666667,0.606758349705305,5,2,2,2,"高价值客户"
"116",14683,6243,14,5,5,3,3,533,0.975369458128079,0.476190476190476,0.432848722986248,4,1,2,2,"重点保护客户"
"117",14684,8002,14,11,4,3,4,434,0.945812807881773,0.476190476190476,0.571080550098232,3.7,2,2,2,"高价值客户"
"118",14685,3839,9,8,4,1,1,411,0.960591133004926,0.238095238095238,0.243929273084479,2.5,1,1,2,"一般发展客户"
"119",14686,6482,11,15,3,2,3,323,0.926108374384236,0.333333333333333,0.451630648330059,2.7,1,1,1,"潜在客户"
"120",14687,4908,14,12,4,3,2,432,0.940886699507389,0.476190476190476,0.327937131630648,3.3,1,2,2,"重点保护客户"
"121",14688,7351,14,9,4,3,4,434,0.955665024630542,0.476190476190476,0.51992141453831,3.7,2,2,2,"高价值客户"
"122",14689,7562,14,9,4,3,4,434,0.955665024630542,0.476190476190476,0.536502946954813,3.7,2,2,2,"高价值客户"
"123",14690,4677,11,8,4,2,1,421,0.960591133004926,0.333333333333333,0.309783889980354,2.8,1,1,2,"一般发展客户"
"124",14691,3538,10,5,5,1,1,511,0.975369458128079,0.285714285714286,0.220275049115914,3,1,1,2,"一般发展客户"
"125",14692,6033,9,20,3,1,3,313,0.901477832512315,0.238095238095238,0.416345776031434,2.4,1,1,1,"潜在客户"
"126",14693,10391,18,22,3,5,5,355,0.891625615763547,0.666666666666667,0.758821218074656,4,2,2,1,"重点保持客户"
"127",14694,5462,9,66,1,1,2,112,0.67487684729064,0.238095238095238,0.37147347740668,1.2,1,1,1,"潜在客户"
"128",14695,9519,15,58,1,4,5,145,0.714285714285714,0.523809523809524,0.690294695481336,2.7,2,2,1,"重点保持客户"
"129",14696,9545,19,51,1,5,5,155,0.748768472906404,0.714285714285714,0.692337917485265,3,2,2,1,"重点保持客户"
"130",14697,5715,11,8,4,2,2,422,0.960591133004926,0.333333333333333,0.391355599214145,3,1,1,2,"一般发展客户"
"131",14698,4067,9,3,5,1,1,511,0.985221674876847,0.238095238095238,0.261846758349705,3,1,1,2,"一般发展客户"
"132",14699,10588,17,34,2,5,5,255,0.832512315270936,0.619047619047619,0.774302554027505,3.5,2,2,1,"重点保持客户"
"133",14700,5544,8,16,3,1,2,312,0.921182266009852,0.19047619047619,0.377917485265226,2.2,1,1,1,"潜在客户"
"134",14701,6903,14,33,2,3,3,233,0.83743842364532,0.476190476190476,0.484715127701375,2.5,1,2,1,"一般保护客户"
"135",14702,5184,9,32,2,1,2,212,0.842364532019704,0.238095238095238,0.349626719056974,1.7,1,1,1,"潜在客户"
"136",14703,10266,20,20,3,5,5,355,0.901477832512315,0.761904761904762,0.748998035363458,4,2,2,1,"重点保持客户"
"137",14704,8135,15,21,3,4,4,344,0.896551724137931,0.523809523809524,0.581532416502947,3.5,2,2,1,"重点保持客户"
"138",14705,6456,12,47,1,2,3,123,0.768472906403941,0.380952380952381,0.44958742632613,1.7,1,1,1,"潜在客户"
"139",14706,8097,15,41,2,4,4,244,0.798029556650246,0.523809523809524,0.578546168958743,3,2,2,1,"重点保持客户"
"140",14707,6014,13,5,5,3,3,533,0.975369458128079,0.428571428571429,0.414852652259332,4,1,2,2,"重点保护客户"
"141",14708,5186,14,18,3,3,2,332,0.911330049261084,0.476190476190476,0.349783889980354,2.8,1,2,1,"一般保护客户"
"142",14709,5749,15,18,3,4,2,342,0.911330049261084,0.523809523809524,0.394027504911591,3.1,1,2,1,"一般保护客户"
"143",14710,6534,16,7,5,4,3,543,0.96551724137931,0.571428571428571,0.455717092337917,4.3,1,2,2,"重点保护客户"
"144",14711,5802,11,54,1,2,2,122,0.733990147783251,0.333333333333333,0.398192534381139,1.5,1,1,1,"潜在客户"
"145",14712,3788,8,79,1,1,1,111,0.610837438423645,0.19047619047619,0.23992141453831,1,1,1,1,"潜在客户"
"146",14713,2964,7,53,1,1,1,111,0.738916256157635,0.142857142857143,0.17516699410609,1,1,1,1,"潜在客户"
"147",14714,3666,9,2,5,1,1,511,0.990147783251232,0.238095238095238,0.230333988212181,3,1,1,2,"一般发展客户"
"148",14715,8733,15,6,5,4,5,545,0.970443349753695,0.523809523809524,0.62852652259332,4.7,2,2,2,"高价值客户"
"149",14716,9989,21,30,2,5,5,255,0.852216748768473,0.80952380952381,0.727229862475442,3.5,2,2,1,"重点保持客户"
"150",14717,6723,13,1,5,3,3,533,0.995073891625616,0.428571428571429,0.470569744597249,4,1,2,2,"重点保护客户"
"151",14718,2288,5,6,5,1,1,511,0.970443349753695,0.0476190476190476,0.122043222003929,3,1,1,2,"一般发展客户"
"152",14719,7957,14,39,2,3,4,234,0.807881773399015,0.476190476190476,0.5675442043222,2.7,2,2,1,"重点保持客户"
"153",14720,8590,14,8,4,3,5,435,0.960591133004926,0.476190476190476,0.617288801571709,3.9,2,2,2,"高价值客户"
"154",14721,5442,12,27,2,2,2,222,0.866995073891626,0.380952380952381,0.369901768172888,2,1,1,1,"潜在客户"
"155",14722,7735,17,9,4,5,4,454,0.955665024630542,0.619047619047619,0.550098231827112,4.3,2,2,2,"高价值客户"
"156",14723,7051,11,23,3,2,4,324,0.886699507389163,0.333333333333333,0.496345776031434,2.9,2,1,1,"重点挽留客户"
"157",14724,5104,12,92,1,2,2,122,0.54679802955665,0.380952380952381,0.343339882121807,1.5,1,1,1,"潜在客户"
"158",14725,5704,14,23,3,3,2,332,0.886699507389163,0.476190476190476,0.39049115913556,2.8,1,2,1,"一般保护客户"
"159",14726,8159,20,17,3,5,4,354,0.916256157635468,0.761904761904762,0.583418467583497,3.8,2,2,1,"重点保持客户"
"160",14727,5146,14,3,5,3,2,532,0.985221674876847,0.476190476190476,0.34664047151277,3.8,1,2,2,"重点保护客户"
